题名,作者,出版社
3000物理习题精解,哈尔彭,科学出版社
ANSYS 11.0基础与典型范例,周长城,电子工业出版社
APDL参数化有限元分析技术及其应用实例,博弈创作室,中国水利水电出版社
Java编程思想,埃克尔,机械工业出版社
LabVIEW 8.20程序设计从入门到精通,陈锡辉,清华大学出版社
Maple高级应用和经典实例,马开平,国防工业出版社
MATLAB从入门到精通,胡晓冬,人民邮电出版社
MATLAB使用详解,董霖,科学出版社
MATLAB语言与数学实验,江世宏,科学出版社
道德经,老子,三秦出版社
非线性最优化,谢政,国防科技大学出版社
分子模拟,弗伦克尔,化学工业出版社
概率论与数理统计学习指导,毛用才,西安电子科技大学出版社
光学,章志鸣,高等教育出版社
计算方法典型例题分析,孙志忠,科学出版社
精通MATLAB,葛哲学,电子工业出版社
流体力学,林建忠,清华大学出版社
六级词汇词根＋联想记忆法,俞敏洪,世界图书出版公司
时生,东野圭吾,南海出版公司
世界是平的,弗里德曼,东方出版社
数据分析,范金城,科学出版社
数学建模,乔达诺,机械工业出版社
数学建模方法与分析,米尔斯切特,机械工业出版社
万历十五年,黄仁宇,中华书局
微积分学教程,菲赫金哥尔茨,高等教育出版社
线性代数习题集,史荣昌,机械工业出版社
数值方法 (MATLAB版),马修斯,电子工业出版社
ANSYS 7.0入门与提高,东方人华,清华大学出版社
Effective C++,迈耶斯,电子工业出版社
SPSS统计分析方法及应用,薛薇,电子工业出版社
病理学彩色图谱,徐国成,辽宁科学技术出版社
传热学,王秋旺,西安交通大学出版社
大学物理学习指导及自测,许丽敏,华东理工大学出版社
大学物理要点与解题,王小力,西安交通大学出版社
大学英语四、六级考试冲刺丛书,王怀贞,科学技术文献出版社
电磁场要点与解题,马西奎,西安交通大学出版社
沸腾传热和气液两相流,徐济jun,原子能出版社
计算方法重点内容重点题,杨泮池,西安交通大学出版社
借我一生,余秋雨,作家出版社
精通MATLAB 7,王正林,电子工业出版社
两相与多相流动力学,郭烈锦,西安交通大学出版社
气液两相流和沸腾传热,林宗虎,西安交通大学出版社
数学物理方法典型题,李惜雯,西安交通大学出版社
数值方法 (MATLAB版),马修斯,电子工业出版社
数值计算方法解题指导,张韵华,科学出版社
侠客行,金庸,"广州出版社;""花城出版社"""
侠客行,金庸,"广州出版社;""花城出版社"""
张爱玲精选集,张爱玲,北京燕山出版社
FLUENT入门与进阶教程,于勇,北京理工大学出版社
MATLAB宝典,陈杰,电子工业出版社
VC++深入详解,孙鑫,电子工业出版社
大学化学精要与典型题解,何培之,西安交通大学出版社
大学基础物理学学习辅导与习题解答,张三慧,清华大学出版社
大学物理学习指导,姜廷玺,东北大学出版社
道德经浅释,熊良山,华中理工大学出版社
高等代数简明教程,蓝以中,北京大学出版社
高等数学 (同济五版) 学习指导与习题全解,雷发社,陕西科学技术出版社
工程热力学,,高等教育出版社
偏微分方程数值解法,陆金甫,清华大学出版社
曲线与曲面的微分几何,卡尔莫,机械工业出版社
热力学与统计力学,格赖纳,北京大学出版社
